,Name,Team,IMO,Name,Team,IMO,Fields_Medal,Wolf_Prize,EMS_Prize,AMS_research_prizes,Clay_Award,Abel_Prize,Person_Image,Country_Flag,Wikipedia_URL
34,Eugenia Malinnikova,Soviet Union,"['P 1991': 'P 1990': 'G 1989']",,,,,2017,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/125px-Flag_of_the_Soviet_Union.svg.png,https://en.wikipedia.org/wiki/Eugenia_Malinnikova
35,Akshay Venkatesh,Australia,['B 1994'],2018,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Akshay_Venkatesh_2014.jpg/300px-Akshay_Venkatesh_2014.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/125px-Flag_of_Australia_%28converted%29.svg.png,https://en.wikipedia.org/wiki/Akshay_Venkatesh
36,Artur Avila,Brazil,['G 1995'],2014,,2008,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Artur_%C3%81vila_%28cropped%29.jpg/220px-Artur_%C3%81vila_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/125px-Flag_of_Brazil.svg.png,https://en.wikipedia.org/wiki/Artur_Avila
37,Emmanuel Breuillard,France,['G 1995'],,,2012,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/125px-Flag_of_France.svg.png,https://en.wikipedia.org/wiki/Emmanuel_Breuillard
38,Ben J. Green,United Kingdom,"['S 1995': 'S 1994']",,,2008,,2004,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Ben_Green.jpg/220px-Ben_Green.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Flag_of_the_United_Kingdom_%281-2%29.svg/125px-Flag_of_the_United_Kingdom_%281-2%29.svg.png,https://en.wikipedia.org/wiki/Ben_J._Green
39,Maryam Mirzakhani,Iran,"['P 1995': 'G 1994']",2014,,,2009 (Blumenthal),2014,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/654d56ac6e_109485_maryam-mirzakhani-stanford-university-02.jpg/220px-654d56ac6e_109485_maryam-mirzakhani-stanford-university-02.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/125px-Flag_of_Iran.svg.png,https://en.wikipedia.org/wiki/Maryam_Mirzakhani
40,Boáz Klartag,Israel,['S 1996'],,,2008,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/125px-Flag_of_Israel.svg.png,https://en.wikipedia.org/wiki/Boáz_Klartag
41,Ciprian Manolescu,Romania,"['P 1997': 'P 1996': 'P 1995']",,,2012,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Ciprian.jpg/150px-Ciprian.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/125px-Flag_of_Romania.svg.png,https://en.wikipedia.org/wiki/Ciprian_Manolescu
42,Adrian Ioana,Romania,['S 1999'],,,2012,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/125px-Flag_of_Romania.svg.png,https://en.wikipedia.org/wiki/Adrian_Ioana
43,Mark Braverman,Israel,"['G 2000': 'B 1999': 'B 1998']",,,2016,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/125px-Flag_of_Israel.svg.png,https://en.wikipedia.org/wiki/Mark_Braverman
44,Ana Caraiani,Romania,"['G 2003': 'G 2002': 'S 2001']",,,2020,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/125px-Flag_of_Romania.svg.png,https://en.wikipedia.org/wiki/Ana_Caraiani
45,Kaisa Matomäki,Finland,"['R 2003': 'R 2002']",,,2020,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/125px-Flag_of_Finland.svg.png,https://en.wikipedia.org/wiki/Kaisa_Matomäki
46,Joaquim Serra,Spain,['R 2004'],,,2020,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Bandera_de_Espa%C3%B1a.svg/125px-Bandera_de_Espa%C3%B1a.svg.png,https://en.wikipedia.org/wiki/Joaquim_Serra
47,Simion Filip,Moldova,"['S 2005': 'B 2004']",,,2020,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Filip_simion.jpg/220px-Filip_simion.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Moldova.svg/125px-Flag_of_Moldova.svg.png,https://en.wikipedia.org/wiki/Simion_Filip
48,Peter Scholze,Germany,"['G 2007': 'G 2006': 'P 2005': 'S 2004']",2018,,2016,2015 (Cole algebra),2014,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Peter_Scholze_%28cropped%29.jpg/220px-Peter_Scholze_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/125px-Flag_of_Germany.svg.png,https://en.wikipedia.org/wiki/Peter_Scholze
